Topic,Count,Name,Representation,Representative_Docs
-1,37665,-1_cell_patient_study_effect,"['cell', 'patient', 'study', 'effect', 'increase', 'use', 'result', 'activity', 'protein', 'rat']","['protein alpha subunit alter morphology growth kinetic phospholipid metabolism somatic cell physiological role alpha subunit guanine nucleotide bind protein investigate murine adrenal cell line transfecte rat alpha cdna clone retroviral expression vector parental cell line lack detectable alpha subunit expression alpha cdna transfecte cell line confirm western blot immunoblot analysis rat alpha subunit interact murine beta gamma subunit associate cell membrane cell contain large alpha subunit alter cellular morphology reduce rate cell division addition gtp gamma stimulated release arachidonic acid cell significantly increase compare control cell alpha subunit appear directly indirectly regulate cellular proliferation morphology phospholipid metabolism', 'role advanced glycosylation product complication diabetes glucose reduce sugar react protein nucleic acid aid enzyme form stable covalent adduct reaction study food chemist recently find occur vivo lead study accumulation advanced glycosylation end product age role play aging long live protein nucleic acid contrast amadori product equilibrium glucose age irreversibly attach protein age moiety brown fluorescent chromophore cross link protein identify characterize specific age glucose derive cross link protein furoyl-4(5)-(2 furanyl)-1h imidazole ffi alkyl-2 formyl-3,4 diglycosylpyrrole afgp use radioimmunoassay ffi identification possible demonstrate presence ffi situ protein expose glucose vitro vivo recently find reduce sugar react amino group dna nucleotide manner analogous nonenzymatic glycosylation amino group protein age dna form manner spectral fluorescent property similar age protein observe formation age dna decrease ability single strand virus transfect escherichia coli plasmid pbr322 contain ampicillin- tetracycline resistant gene incubate reduce sugar specific mutation observe mutation find cause insertion deletion dna study need measure age dna protein link dna age potential mechanism repair age dna need explore further.(abstract truncate 250 word', 'effect t-2 toxin gavage synthesis content rat liver macromolecule effect oral administration t-2 toxin 0.75 body weight day day liver plasma young male rat study significant decrease body weight increase liver weight observe rat treat t-2 toxin liver protein glycogen level significantly low control day treatment significant difference observe day level rna liver significantly increase day treatment liver dna level significantly low control time interval liver microsomal protein significantly decrease day microsomal rna content significantly increase day significantly decrease day level serum protein day blood glucose day significantly low t-2 toxin treat rat level incorporation 14c]leucine 3h]uridine liver protein rna liver microsomal protein rna high control day decrease incorporation 3h]thymidine liver dna significantly alter animal treat toxin']"
0,126,0_cholesterol_lipoprotein_hdl_triglyceride,"['cholesterol', 'lipoprotein', 'hdl', 'triglyceride', 'lipid', 'ldl', 'density', 'level', 'plasma', 'serum']","['desogestrel gestodene oral contraceptive month assessment carbohydrate lipoprotein metabolism examine influence carbohydrate lipoprotein metabolism oral contraceptive ocs contain new generation progestogen desogestrel gestodene prospective randomize study monophasic combination microgram ethinyl estradiol 150 microgram desogestrel microgram ethinyl plus microgram gestodene administer healthy woman respectively oral glucose tolerance test include measurement insulin response perform treatment month treatment determine fast plasma concentration total cholesterol high density lipoprotein cholesterol include subfraction high density lipoprotein2 cholesterol high density lipoprotein3 cholesterol low density lipoprotein cholesterol low density lipoprotein cholesterol triglyceride transient deterioration glucose tolerance observe despite unchanged level insulin treatment compound month group plasma level triglyceride low density lipoprotein cholesterol high density lipoprotein cholesterol increase significantly month month significant increase high density lipoprotein cholesterol total cholesterol ratio observe ethinyl desogestrel group persistent change low density lipoprotein cholesterol demonstrate group result indicate treatment compound month effect carbohydrate lipoprotein metabolism know increase risk cardiovascular disease', 'change plasma lipoprotein cardiac rehabilitation patient lipid lower drug extent conventional cardiac rehabilitation programme influence plasma lipoprotein investigate prospective study relationship change plasma lipoprotein baseline characteristic variable relate physical training dietary habit assess cardiac patient patient participate physical training programme include general dietary advice patient receive lipid lower drug exclude study total plasma cholesterol decrease 7.1 1.6 6.8 1.2 mmol l-1 0.05 remain high patient level 6.5 mmol l-1 high- low density lipoprotein fraction hdl- ldl cholesterol ratio total cholesterol hdl cholesterol change significantly change total plasma cholesterol great 0.05 patient change diet recommend direction poorly relate change maximal workload conclude combination general dietary advice moderate physical exercise training follow small reduction total plasma cholesterol level change hdl cholesterol cardiac rehabilitation include strict programme reduction elevated plasma cholesterol', 'tracking serum hdl cholesterol lipid child adolescent cardiovascular risk young finn study study tracking i.e. correlation subsequent measurement serum lipid cohort 2,236 child adolescent age initially year determination serum variable year apart year tracking value spearman 0.63 0.66 0.58 0.36 serum total cholesterol low density lipoprotein cholesterol high density lipoprotein cholesterol triglyceride respectively boy find track girl subject remain persistently high total cholesterol low density lipoprotein cholesterol triglyceride low high density lipoprotein cholesterol high density lipoprotein ratio quintile tend obese smoke cigarette frequently tracking high density lipoprotein cholesterol high previous study difference methodology account conclude total cholesterol low density high density lipoprotein cholesterol measurement childhood adolescence predictive adult value']"
1,167,1_cell_electron_structure_fiber,"['cell', 'electron', 'structure', 'fiber', 'granule', 'microscopy', 'nerve', 'inclusion', 'junction', 'membrane']","['ultrastructure adrenal medulla normal insulin treat hamster fine structural characteristic chromaffin cell normal insulin administer hamster adrenal gland study exocytosis occur cent nonstimulated cell especially apical cell surface time occurrence great number closely attach secretory granule conspicuous lateral plasma membrane untreated hamster adrenal medulla follow insulin treatment iu/100 body weight characteristic development large intercellular vacuole lateral plasma membrane electron dense secretory material frequently present basis observation suggest case insulin induce hormone secretion exocytosi preferentially occur lateral plasma membrane play important role discharge secretory material cell', 'pathological change human sural nerve minamato disease methylmercury poisoning light electron microscopic study biopsy sural nerve perform patient relatively mild minamata disease year long duration patient present characteristic pathologic change light microscopy disclose formation irregularly shape myelin sheath fine axon increase suggestive incomplete regeneration cicatrization follow loss nerve fiber increase schwann nucleus formation büngner band electron microscopy reveal incomplete myelinate fiber ultrafine unmyelinated fiber associate incomplete regeneration formation regeneration unit collagen increase laminar encapsulation process schwann cell observe ultrafine fiber view fact small quantity mercury contaminate fish catch minamata district myelin degeneration glycogen deposit appearance dense body axon vesiculation fragmentation endoplasmic reticulum observe degenerative change effect mercury accumulation', 'ultrastructure monkey vas deferen testicular prostatic end vasa deferentia male monkey weigh examine ultrastructurally use method describe richard amp tranzer 1975 general ultrastructure vas deferen resemble describe previously addition new feature observe include shedding apical portion epithelial cell darkening mitochondria rich cell epithelium iii presence secretory granule like structure principal cell epithelium mast cell associate blood vessel smooth muscle cell presence dense osmiophilic cell lamina propria muscle coat predominantly mention cell stellate branching process characterise appearance caveolae surface membrane basal lamina surround cell membrane cell contact nerve varicosity resemble cholinergic purinergic fibre']"
2,149,2_hormone_progesterone_level_estrogen,"['hormone', 'progesterone', 'level', 'estrogen', 'woman', 'fsh', 'cycle', 'estradiol', 'gonadotropin', 'follicle']","['hormonal response patient polycystic ovarian disease subcutaneous low frequency pulsatile administration luteinize hormone release hormone patient oligoamenorrhea manifest hormonal clinical feature polycystic ovarian disease pcod select treatment patient high luteinizing hormone level basal follicle stimulate hormone fsh ratio great high androgen level normal adrenal cortical function patient treat cycle pulsatile release hormone subcutaneously frequency pulse vary 120 400 minute consecutive cycle attempt reverse fsh ratio dose varied microgram pulse treatment monitor hormonally determination fsh beta estradiol prolactin progesterone testosterone total free androstenedione delta dehydroepiandrosterone sulfate dhea sex hormone bind globulin shbg day striking change lowering fsh ratio normal range decrease fsh increase pulse frequency 180 240 minute dhea level reverse normal patient reduce patient delta level return normal elevation normal shbg hormonal improvement result ovulation expect cycle assume subcutaneous administration inadequate pcod patient frequency pulse need correct hormonal disturbance pcod patient differ need ovum maturation ovulation', 'sequential use clomiphene citrate human menopausal gonadotropin ovulation induction effort diminish incidence multiple pregnancy ovarian hyper stimulation syndrome excessive cost human menopausal gonadotropin hmg administration sequence clomid hmg human chorionic gonadotropin hcg use patient infertility prolong amenorrhea criterion therapeutic regiman normal seminal fluid analysis postcoital test lack withdrawal bleed progesterone follow amenorrhea month duration normal ray sella turcica visual field low serum follicle stimulate hormone fsh luteinize hormone level normal endoscopic examination lack response clomiphene excessive dose 200 daily day prolong dose 100 daily day hcg apparent ovulatory response sequence consecutive cycle pregnancy clomiphene administer dose 100 daily day hmg follow manner ampule daily day ampule daily day fsh ampule hour interval treatment 10,000 hcg 2000 hcg day later pregnancy occur patient patient pregnant patient abnormality note lack ovulation additional pregnancy occur subsequent unsuccessful cycle multiple pregnancy occur patient twin deliver week abortion fetus week multiple pregnancy occur patient urinary estrogen level monitor level 100 mug hcg ovarian hyperstimulation syndrome occur patient', 'alter neuroendocrine regulation luteinize hormone secretion postmenopausal woman parkinson disease secretion gonadotropin role exert endogenous opioid system luteinize hormone secretion investigate postmenopausal woman affect idiopathic parkinson disease age- weight match normal postmenopausal woman control mean plasma follicle stimulate hormone fsh level evaluate basal condition day conjugate estrogen administration 1.25 day time activity endogenous opioid system evaluate response hour infusion opioid antagonist naloxone 1.6 i.v bolus follow 1.6 estrogen administration plasma fsh level similar group subject plasma level significantly low 0.01 parkinsonian control woman subject estrogen administration significantly blunt 0.01 plasma fsh level plasma level reduce control 0.05 woman subject estrogen administration plasma level vary naloxone infusion control woman day estrogen administration plasma level significantly increase naloxone infusion 0.01 contrast woman conjugate estrogen fail restore response naloxone present result suggest neurotransmitter mechanism regulate secretion alter particular activity endogenous opioid system deficient woman']"
3,73,3_feed_diet_rat_fat,"['feed', 'diet', 'rat', 'fat', 'weight', 'intake', 'milk', 'oil', 'dietary', 'body']","['effect amino acid imbalance protein content diet food intake preference young adult diabetic rat effect histidine methionine imbalance dietary level casein food intake preference young adult diabetic 2.5 month old rat examine depression food intake growth cause ingestion imbalanced diet great young rat absent diabetic rat alloxan diabete induce hyperphagia elevated concentration plasma branch chain amino acid decrease concentration tryptophan tyrosine diabetic rat feed imbalance diet day high concentration limit amino acid plasma adult normal rat feed diet diabetic rat prefer imbalance diet protein free diet feed diet concurrently ingestion imbalance diet normal rat cause great change plasma brain amino acid pattern protein free diet unlike diabetic rat normal rat especially young rat strongly prefer protein free diet imbalance diet normal rat prefer casein diet supplement methionine low high casein diet young rat able select protein diet support maximal growth proportion dietary amino acid balance susceptibility rat amino acid imbalance vary directly status overall protein synthesis animal', 'acute effect dietary protein food intake tissue amino acid brain serotonin male rat 100 previously adapt casein diet feed diet contain casein kill 150 240 330 min food intake rat feed protein free diet diet contain great casein depressed min remain depressed 5.5 depressed food intake rat feed protein free diet accompany rapid reduction plasma brain total concentration free indispensable amino acid iaa food intake depression group feed diet contain excess casein associate elevated plasma brain total iaa concentration compare animal feed diet contain casein consistent relationship observe food protein intake brain concentration hydroxytryptamine hydroxyindole-3 acetic acid sum result suggest animal feed single diet food intake depressed total concentration free iaa brain fall certain critical minimum exceed maximum tolerable level', 'broiler chick response low protein diet supplement synthetic amino acid performance broiler chick feed low protein diet supplement essential amino acid eaa generally inferior bird feed high protein diet compose primarily intact protein experiment conduct determine lower minimum requirement eaa proportion lowered protein concentration equalize dietary amino nitrogen content use glutamic acid prevent reduction performance chick feed experimental diet day age body weight gain feed consumption feed efficiency determine experiment chick feed diet minimum eaa set 100 1984 national research council nrc suggest requirement group feed diet eaa set 93.5 diet set 93.5 87.5 nrc requirement second experiment diet feed glutamic acid add provide amino nitrogen equivalent protein minimum eaa set 100 1984 nrc requirement experiment body weight gain feed efficiency feed intake depress lower content reduce minimum eaa requirement proportion reduction fail correct difference performance high low diet experiment body weight gain feed intake reduce intact decrease glutamic acid increase feed efficiency unaffected.(abstract truncate 250 word']"
4,395,4_strain_isolate_resistant_resistance,"['strain', 'isolate', 'resistant', 'resistance', 'antibiotic', 'ciprofloxacin', 'mic', 'specie', 'bacteria', 'aureus']","['resistance pseudomona aeruginosa chloramphenicol strain pseudomona aeruginosa resistant 400 mug chloramphenicol isolate generation time resistant strain presence absence similar parent strain grow absence chloramphenicol resistance eliminate treatment acridine dye mitomycin sodium dodecyl sulfate suggest resistance express plasmid resistant strain produce pigment pyocyanine addition pyocyanine strain eliminate resistance factor strain sensitive isolate strain produce enzyme acetyl coa chloramphenicol transacetylase resistant strain sensitive strain accumulate 14c great rate great extent resistant strain grow presence result suggest resistant strain inactivate acetylation in.addition develop permeability barrier chloramphenicol', 'vitro susceptibility bacillus spp select antimicrobial agent dismiss contaminant isolate blood culture bacillus spp increasingly recognize capable cause systemic infection clinical microbiological study strain bacillus spp isolate clinical blood culture 1981 1985 specie determine test antimicrobial agent susceptibility antibiotic specie isolate determine api 50ch api 20e system bacillus cereus strain common specie isolate follow megaterium strain polymyxa strain pumilus strain subtilis strain circulans strain amyloliquefaciens strain licheniformis strain bacillus spp strain microdilution mic susceptibility test reveal cereus strain susceptible imipenem vancomycin chloramphenicol gentamicin ciprofloxacin non cereus strain susceptible imipenem vancomycin ly146032 ciprofloxacin disk susceptibility testing suggest cereus rarely susceptible penicillin semisynthetic penicillin cephalosporin exception mezlocillin contrast non cereus strain susceptible penicillin semisynthetic penicillin cephalosporin marked variability note specie', 'distribution antibiotic resistance aerobic bacteria isolate infected wound cause burn distribution accord specie genus resistance antibacterial agent study 420 bacterial isolate cultured wound excretion 282 burn infect patient isolate 68.2 gram positive 31.8 gram negative high rate fecal infection burn patient age year total isolate 38.3 staphylococcus aureus 16.7 coagulase negative staphylococcus 10.7 pseudomona strain 6.9 escherichia coli 4.8 klebsiella vancomycin resistant staphylococcus strain find hand strain cross resistant methicillin- oxacillin cefuroxim clindamycin agent potent follow vancomycine ceftazidime effective agent pseudomona strain follow amikacin carbenicillin tobramycin ceftriaxon gram negative bacteria strong sensitivity ceftazidime ceftriaxone follow amikacin']"
5,282,5_glucose_insulin_min_05,"['glucose', 'insulin', 'min', '05', 'plasma', 'diabetic', 'control', 'increase', 'group', 'subject']","['effect gemfibrozil treatment sulfonylurea treat patient noninsulin dependent diabetes mellitus study initiate assess gemfibrozil ability lower plasma triglyceride concentration patient niddm determine effect associate change glycemic control measurement mean hourly plasma glucose insulin ffa concentration 1200 1600 response test meal hepatic glucose production hgp insulin stimulate glucose uptake hyperinsulinemic glucose clamp study mcr fast plasma lipoprotein cholesterol concentration patient niddm month gemfibrozil treatment ambient plasma ffa concentration fall significantly plasma glucose insulin hgp concentration fall significantly plasma glucose insulin hgp glucose mcr change patient divide group fast plasma glucose level mmol fair control level mmol good control different phenomenon observe patient fair control significant decrease mean hourly plasma concentration glucose 15.1 1.7 12.6 0.9 mmol 0.001 insulin 523 471 pmol 0.001 ffa 652 150 504 mumol hgp 9.5 0.4 8.1 0.4 mumol kg.min 0.005 increase glucose mcr 2.63 0.49 3.72 0.54 kg.min 0.07 association fall 6.9 1.3 3.5 0.9 mmol 0.001 fast low density lipoprotein cholesterol increase 1.8 0.2 2.7 0.2 mmol 0.05 ratio total high density lipoprotein cholesterol decrease 6.84 0.88 5.80 1.05 0.02 despite significant fall mean hourly concentration 4.6 0.7 3.8 0.7 mmol 0.001 insulin ffa hgp glucose mcr change patient good control furthermore mean hourly plasma glucose concentration increase 9.2 0.7 11.7 1.4 mmol 0.001 low density lipoprotein cholesterol increase group 1.9 0.2 2.7 0.2 mmol 0.02 ratio total high density lipoprotein cholesterol decrease 8.15 1.93 6.36 1.03 0.02', 'importance growth hormone blood glucose regulation follow insulin induce nocturnal hypoglycemia insulin dependent diabetes mellitus effect growth hormone glucose homeostasis follow nocturnal hypoglycemia study a.m. noon male patient insulin dependent diabetes mellitus iddm somatostatin 250 microgram h)-insulin 0.4 min)-glucose min)-infusion test sigit patient participate experiment hypoglycemia a.m. induce i.v insulin 1.5 min experiment endogenous secretion suppress somatostatin 250 microgram glucagon 0.5 min substitute somatostatin induce suppression endogenous glucagon secretion saline min nadir blood glucose random order mean nadir glucose value study 1.7 0.2 vs. 1.7 0.1 mmol difference register plasma free insulin glucagon response adrenaline cortisol hypoglycemia infusion result plasma level microgram end infusion decrease low immeasurable level hour infusion evoke marked hyperglycemia hour conclude hypoglycemia accompany transient increase plasma insulin resistance occur lag period approximately hour effect persist hour', 'effect differ insulin level response equivalent hypoglycemia conscious dog aim study determine differ concentration insulin modify counterregulatory response equivalent hypoglycemia insulin infuse intraportally normal fast conscious dog low mu.kg-1.min-1 high separate occasion result steady state arterial insulin level 610 microu respectively glucose infuse high dose maintain plasma glucose similar low despite similar plasma glucose level epinephrine 2,589 260 806 180 norepinephrine 535 303 cortisol 12.1 1.5 5.8 1.2 microgram pancreatic polypeptide 1,198 150 598 250 increase presence high dose insulin 0.05 glucagon level similar insulin infusion hepatic glucose production measure 3h]-glucose rise 2.6 0.2 4.7 0.3 mg.kg-1.min-1 response high insulin 0.01 remain unchanged 3.0 0.5 mg.kg-1.min-1 low dose infusion hyperinsulinemic euglycemic control experiment mu.kg-1.min-1 provide baseline datum final hour high dose euglycemic clamp cortisol 2.4 0.4 4.8 0.8 micrograms norepinephrine 125 278 increase 0.05 compare baseline plasma epinephrine level remain unchanged series euglycemic studies.(abstract truncate 250 word']"
6,72,6_age_birth_woman_weight,"['age', 'birth', 'woman', 'weight', 'risk', 'black', 'height', 'smoking', 'cancer', 'year']","['management extremely low birth weight infant health care woman pregnancy delivery improvement neonatal intensive therapy technology lead decrease neonatal mortality morbidity lower limit birth weight gestational age survival paper refer management protocol use department perinatal pathology provincial maternity hospital milan extremely low birth weight elbw infant birth weight 1000 hospital newborn infant present evidence life irrespective birth weight gestational age resuscitate transfer neonatal intensive care unit nicu clinical management introduction protocol mortality rate elbw infant drop 71.4 1977 1987 group elbw infant mean birth weight 850 mean gestational age week present normal outcome present mild neurological impairment affect severe cerebral palsy age year intact survival newborn infant 450 birth report', 'obesity overweight young adult cardia study association body size age race sex education young adult examine 5,115 black white man woman age year black woman obese white woman great mean level body mass index 25.8 23.1 subscapular skinfold thickness 19.9 15.2 waist girth 76.7 72.0 0.0001 black woman likely exceed ideal body weight black woman 23.7 white woman 9.1 0.0001 similar difference find man association measure body size age education differ race sex group body mass index skinfold increase age white black man black woman white woman association education obesity negative white woman positive black man significant association note white man black woman datum complex relationship age sex race education obesity young adulthood', 'prevalence coronary heart disease risk factor urban black population minnesota heart survey 1985 cross sectional study sample minnesota black urban resident conduct 1985 develop cardiovascular risk profile participant evaluate home interview 1,254 participation survey center visit 1,052 participation black man significantly high mean systolic diastolic blood pressure black woman 129.7/80.9 124.8/77.3 respectively age specific value systolic diastolic blood pressure great man woman age category man likely uncontrolle hypertension unaware hypertension woman age category woman significantly high mean total high density lipoprotein cholesterol value man 202.1 56.1 193.2 48.7 respectively age specific value total high density lipoprotein cholesterol value great woman man age category age group man significantly likely current cigarette smoker 43.3 33.2 high cigarette consumption day woman major risk factor cardiovascular disease exception smoking low minnesota study 1985 national health nutrition examination survey 1976 1980 low level component decline cardiovascular disease mortality rate black']"
