Topic,Count,Name,Representation,Representative_Docs
7,54,7_patient_pressure_antihypertensive_effect,"['patient', 'pressure', 'antihypertensive', 'effect', 'hypertension', 'placebo', 'hypertensive', 'treatment', 'blood', 'dose']","['use nifedipine postpartum period patient severe preeclampsia nifedipine calcium channel blocker reduce blood pressure increase renal blood flow double blind investigation evaluate effect nifedipine postpartum patient severe preeclampsia thirty patient randomize receive nifedipine placebo hour begin immediately delivery datum analysis reveal significantly high urine output nifedipine group hour delivery 3834 versus 2057 0.05 significant reduction mean arterial pressure note nifedipine group hour postpartum 93.9 versus 100.2 0.05 significant difference systolic diastolic blood pressure pulse laboratory study result need administer hydralazine control blood pressure nifedipine appear beneficial effect urinary output mean arterial pressure hour post partum patient severe preeclampsia', 'efficacy safety guanadrel elderly hypertensive patient hypertension common elderly associate high morbidity mortality decrease effective blood pressure control antihypertensive drug tolerate aged treat patient man woman age year mean 73.6 year guanadrel sulfate patient receive prior antihypertensive therapy ineffective cause undesirable effect average follow time month mean systolic pressure enrollment 188 mean diastolic pressure 100 treatment mean systolic pressure 139 mean diastolic pressure dosage varied mean significant effect fatigue dizziness dyspnea report patient patient medication monotherapy receive diuretic diuretic beta blocker additional therapy conclusion guanadrel effective tolerate medication treatment hypertension elderly', 'nifedipine interaction hypertensive patient nifedipine interaction hypertensive patient evaluate account possibility inhibition prostaglandin synthesis induce non steroidal antiinflammatory drug nsaid reduce antihypertensive effect nifedipine interaction nifedipine antihypertensive drug inhibition systemic renal synthesis induce indomethacin reduce hypertensive effect drug change antihypertensive effect nifedipine combination antihypertensive drug different mechanism action need treatment hypertensive know monotherapy able normalize mild moderate hypertensive rationale combine antihypertensive agent base knowledge combination exert additive antihypertensive effect compare single drug treatment establish nifedipine usefully combine beta blocker ace inhibitor clonidine controversial combination nifedipine thiazide diuretic exert additional antihypertensive effect previously acute hypotensive effect nifedipine patient chronic renal failure great sodium repletion sodium depletion chlorthalidone compare placebo increase hypotensive effect nifedipine essential hypertensives.(abstract truncate 250 word']"
8,64,8_measurement_method_use_result,"['measurement', 'method', 'use', 'result', 'analysis', 'technique', 'orientation', 'value', 'parameter', 'error']","['computer program calculate mean skin temperature measurement available field trial attempt estimate mean skin temperature subject prolonged experiment field condition difficult probe disconnected cease function equation allow estimation mean skin temperature reduce number function probe fortran program describe choose appropriate equation calculate mean skin temperature use whichever reading available select site calculate mean body temperature use rectal temperature organization program easily modify use result wide range experimental condition', 'possibility quality assurance accuracy precision forensic blood alcohol determination compliance reduce safety increase 0.1 promille lowering threshold blood alcohol determination realize critical reflection efficiency technique measurement include calibration internal external quality control threshold value control technique measurement prognosis interval technique equal small control interval date 1/7/1990 measure blood probe like describe blood measurement date proof accuracy case non compliance old threshold value use', 'characterization electroglottographic waveform primary study investigate vocal fold functioning objectify vocal fold function opt method process electroglottographic egg signal study normal pathological voice present result measurement chest register function voice intensity frequency reproduction measurement measurement intensity frequency pair need reasonable estimation egg parameter average result measurement chest register difference parameter subject different category consistent result recommend improve measurement protocol adjust parameter']"
9,2459,9_health_care_medical_use,"['health', 'care', 'medical', 'use', 'program', 'service', 'problem', 'research', 'student', 'patient']","['feasibility study teach evaluation system medical education purpose study develop evaluation instrument high feasibility acceptability quantify outcome evaluation order set efficient evaluation system teach evaluation questionnaire student carry national yang ming medical college year support teacher student system establish conduct regular basis important purpose evaluation improve quality teaching academic year sep 1986 june 1988 program overall response rate 44.5 department nursing high response rate follow dentistry medicine post graduate medical technology medicine consideration year class size regression analysis find high year small size class response rate response rate drop significantly academic year regardless department year total class include evaluation program course evaluate question questionnaire use ordinal scale improvement need low end excellent high end mean score seven question teaching evaluation 2.47 student satisfied teaching category course clinical course mean score basic medical course basic medical course mean score common require course evaluate effectiveness teaching student achievement use outcome variable important predictive variable method instruction follow content lecture degree difficulty lecture cognitiveness content variable explain variation student achievement significant teacher speech performance attitude influential analysis base characteristic teacher sex age position teach experience characteristic student department year teaching environment time place category course clinical basic medical common require course variable explain variation student achievement', 'evaluation quality health care level study quality health care process carry type general practice outpatient clinic rural clinic health center datum collect 6,163 protocol collect patient medical visit positive negative parameter elaborate high quality find health center marked difference favor second result 75.6 medical act mean time minute second medical act 65.5 physical examination 15.6 systematic medical examination 4.3 questionably need drug therapy satisfaction user evaluate mean 421 questionnaire administer general population satisfaction great health center accessibility service character outpatient clinic perception health status difference type center helpfulness professional skill', 'public school base referral system psychiatric mental health nursing experience numerous advantage anticipate implementation school base referral system method provide outpatient clinical experience group psychiatric mental health nursing student school setting use clinical site provide valuable learning experience student apply nursing process individual family group multi dimensional involvement reinforce family system theory group concept nature student experience school base referral system opportunity increase knowledge understanding level prevention primary secondary tertiary referral generally constitute secondary intervention early recognition intervention focus student encourage assess factor place child risk development problem identification factor primary intervention strategy structure implement reduce child risk case student involve tertiary prevention rehabilitative approach employ assist individual family cope long term problem situation expand clinical experience facilitate application leadership concept reinforce collaborative role nurse multidisciplinary provision client service psychiatric mental health component curriculum senior year involvement clinical experience provide student positive stimulus assumption professional role opportunity synthesize previous learning']"
10,386,10_cell_antibody_antigen_lymphocyte,"['cell', 'antibody', 'antigen', 'lymphocyte', 'carcinoma', 'monoclonal', 'tumor', 'immunoglobulin', 'virus', 'patient']","['detection human antigen surface mouse cell transform chromosome transfer mouse embryo cell transform vitro transfer chromosome hela human tumour cell express surface antigen find hela cell antigen(s detect indirect immunofluoresence 125i protein bind assay antigen(s share human mouse cell', 'specific human lymphocyte alloantigen link sera previously find react specifically lymphoid cultured cell test isolated peripheral blood lymphocyte microcytotoxicity assay study perform lymphocyte obtain large amish family sera use study cytotoxic peripheral blood lymphocyte cytotoxic lymphocyte antigen detect follow inheritance pattern haplotypes strong linkage disequilibrium antigen suggest gene control expression lymphocyte antigen link gene control alloantigen', 'enumeration antigen site cell flow cytometry evaluate cytofluorometric method determine number antigen express cell surface human lymphocyte use bead know number bind site mouse immunoglobulin monoclonal antibodie specific antigen human lymphocyte find system reproducible reliable technically easy perform great source variation expression cell surface antigen interdonor variability']"
11,333,11_effect_receptor_antagonist_rat,"['effect', 'receptor', 'antagonist', 'rat', 'induce', 'agonist', 'response', 'release', 'dose', 'adrenoceptor']","['variable alpha adrenoceptor mediate inhibition bronchoconstriction peptide release activation pulmonary afferent present study evaluate possible regulation alpha receptor agonist skf 35886 14304 peptide release functional response sensory nerve activation guinea pig lung peptide release bronchoconstriction cause antidromic vagal nerve stimulation low frequency low concentration capsaicin 10(-8 resiniferatoxin 10(-10 attenuate alpha adrenoceptor agonist effect capsaicin nicotine high concentration high frequency nerve stimulation influence small extent alpha adrenoceptor stimulation calcitonin gene relate peptide release evoke bradykinin functional effect inhibit alpha adrenoceptor activation conclude alpha adrenoceptor stimulation mainly inhibit release mediator and/or bronchoconstriction cause moderate activation sensory nerve necessary measure mediator release directly reveal prejunctional effect rely indirect functional evidence', 'alpha alpha adrenoceptor mediate pressor response differentiate calcium antagonist functional antagonism investigate effect cardiovascular depression pressor response alpha adrenoceptor selective agonist methoxamine alpha adrenoceptor selective agonist 920 anesthetized ganglion block rat calcium channel block drug nifedipine preferentially inhibit effect 920 report author lower start blood pressure hemorrhage nitroprusside infusion additional pentobarbitone preferentially inhibit pressor effect 920 selective effect vascular depression 920 consistent predict interaction functional antagonist partial low efficacy agonist test reduce maximum effect methoxamine phenoxybenzamine treatment condition methoxamine behave like 920 sensitive inhibition nitroprusside infusion analogy vasodepressive effect calcium channel block drug responsible preferential inhibition vasoconstrictor response alpha adrenoceptor agonist conclude differential reliance influx extracellular ca2 alpha alpha adrenoceptor explanation selective effect calcium channel block drug', 'opioid receptor mediate inhibition 3h]dopamine 3h]noradrenaline release rat mediobasal hypothalamus slice modulation electrically evoke release 3h]dopamine 3h]noradrenaline opioid receptor activation examine superfused slice rat mediobasal hypothalamus mbh 3h]da release inhibit maximally selective kappa agonist 50,488 microm selective agonist dago 0.01 microm delta selective agonist dpdpe microm naloxone partly antagonize inhibitory effect 50,488 completely dago selective kappa antagonist norbinaltorphimine bni antagonize inhibition cause 50,488 dopamine receptor agonist quinpirole alpha adrenoceptor agonist oxymetazoline decrease evoked overflow 3h]da evoke release 3h]na modulate opioid agonist quinpirole alpha adrenoceptor agonist oxymetazoline inhibit release 3h]na activation alpha adrenoceptor oxymetazoline prevent inhibitory effect 50,488 dago evoked 3h]da release selective kappa antagonist bni antagonize inhibition oxymetazoline 3h]da 3h]na release conclusion activation kappa- opioid receptor result inhibition evoke release mbh slice modulate release report effect opioid hormone secretion indirect consequence reduction release.(abstract truncate 250 word']"
12,52,12_patient_survival_cancer_tumor,"['patient', 'survival', 'cancer', 'tumor', 'recurrence', 'stage', 'disease', 'metastasis', 'radiotherapy', 'chemotherapy']","['prognosis management cervical cancer associate pregnancy seek evaluate prognosis patient stage cervical cancer relate pregnancy review patient university michigan diagnose cervical cancer relate pregnancy 1960 1989 patient stage disease compare control group year old determine pregnancy influence survival mean age patient 30.5 year range number patient treat year period decrease high 1965 1969 low 1985 1989 follow cell type stage treat squamous cell stage iib adenocarcinoma stage iib small cell stage iib patient stage disease cumulative year survival positive lymph node present patient significant difference year survival accord time therapy .45 second trimester patient survival trimester patient survival postpartum patient survival eighteen patient treat radical hysterectomy survive treat term treat second trimester treat postpartum seven patient treat radiation therapy survive treat term treat second trimester treat postpartum compare patient 170 nonpregnant woman year old stage squamous cell cancer pregnancy adversely influence survival .13 number patient diagnose invasive cervical cancer relate pregnancy decrease survival alter pregnancy stage disease', 'combine modality therapy locally advanced non small cell lung carcinoma multi modality treatment consist cisplatin vp-16 fluorouracil chemotherapy concomitantly external beam radiation use treat patient locally advanced stage iii non small cell lung carcinoma regimen use preoperative fashion cycle patient consider surgically resectable curative intent cycle remainder patient clinical response rate entire group overall local control rate median survival month median follow live patient month actuarial year survival disease free survival rate respectively histologic complete response appear predict survival year actuarial survival disease free survival rate resect patient respectively complete histologic responder disease free survival pattern recurrence appear differ histology presence lymph node subset patient actuarial year survival disease free survival rate inoperable patient receive cycle treatment respectively local control majority patient stage iiib disease mountain international staging system appear predict operability local recurrence survival concomitant treatment regimen feasible major toxicity leukopenia nausea vomit', 'role salvage operation limited small cell lung cancer combine modality treatment chemotherapy radiation produce tumor regression patient small cell lung cancer impact survival small patient limited disease survive year survival time extremely short failure respond relapse treatment local control remain problem patient recurrence primary site attempt prolong survival achieve cure undertake surgical resection patient limited small cell lung cancer complete remission standard treatment local recurrence treatment patient male female median age year range patient treat chemotherapy receive preoperative radiotherapy primary site mediastinum patient undergo operation relapse complete remission patient response treatment slight response follow progression chemotherapy achieve partial response great residual masse patient require pneumonectomy lobectomy patient unresectable disease bulky residual masse operation microscopic residual disease pathologic examination small cell lung cancer patient mixed small cell non small cell non small cell lung cancer patient stage disease stage stage iii median survival date diagnosis entire group 105 week date operation week project year survival rate patient residual masse die local progression distant metastatic disease develop patient die year recurrent disease patient alive year diagnosis seven patient require lobectomy stage disease stage stage iii disease pure small cell lung cancer mix small cell non small cell tumor patient pathologic stage disease remain alive compare stage disease stage iii summary relapse failure respond chemotherapy non small cell lung cancer mixed tumor.(abstract truncate 400 word']"
13,4871,13_patient_case_ventricular_coronary,"['patient', 'case', 'ventricular', 'coronary', 'artery', 'year', 'myocardial', 'pressure', 'report', 'disease']","['pulse doppler coronary artery catheter preliminary report new technique measure rapid change coronary artery flow velocity man new catheter measure instantaneous change coronary artery blood flow velocity describe linear relationship flow velocity describe linear relationship flow velocity measure catheter volume flow small artery document correlation coefficient 4=0.99 coronary flow velocity measure proximal right leave coronary artery aortic ostia saphenous vein bypass graft patient undergo diagnostic coronary arteriography increase coronary flow follow injection contrast medium normal coronary artery similar increase coronary flow report follow near maximum exercise increase flow response follow injection contrast media severly limit coronary artery stenosis provide useful method assess hemodynamically significant stenosis patient coronary artery disease', 'right ventricular infarction recognition assessment hemodynamic significance dimensional echocardiography evaluate ability dimensional echocardiographic index determine hemodynamic significance right ventricular infarction patient electrocardiographic evidence right ventricular infarction study hemodynamic significance define jugular venous pressure great h2o right atrial pressure great patient hemodynamically significant right ventricular infarction group incidence hypotension blood pressure mean systolic blood pressure patient nonhemodynamically significant right ventricular infarction group hypotension mean systolic blood pressure 121 0.01 ratio right atrial pulmonary capillary wedge pressure 1.1 0.6 group 0.6 0.2 group 0.05 echocardiography demonstrate right ventricular free wall motion abnormality seven patient group patient group descent right ventricular base 0.7 0.2 group 1.3 0.4 group 2.0 0.2 group normal control patient 0.001 comparison respiratory caval index percentage collapse inferior vena cava inspiration group group control subject 0.05 comparisons).(abstract truncate 250 word', 'clinical angiographic feature coronary artery disease chest irradiation coronary artery disease cad develop patient mean year range chest irradiation mean dose radiation gray irradiation perform hodgkin disease patient lymphoma breast carcinoma cystic hygroma patient mean age year range diagnosis cad patient young year woman present angina acute myocardial infarction patient syncope dyspnea risk factor atherosclerosis coronary angiography diameter narrowing left main coronary artery severe ostial stenosis right coronary artery patient valvular heart disease pericardial disease complete heart block mean leave ventricular ejection fraction range undergo coronary artery bypass grafting surgery difficult impossible severe mediastinal pericardial fibrosis radiation associate cad characterize high incidence leave main right ostial coronary disease occur woman relatively conventional risk factor cad']"
14,105,14_eye_retinal_cataract_visual,"['eye', 'retinal', 'cataract', 'visual', 'detachment', 'acuity', 'glaucoma', 'vitreous', 'lens', 'intraocular']","['pseudophakic retinal detachment anatomic visual result retinal reattachment rate visual result analyze 227 consecutive primary pseudophakic rhegmatogenous retinal detachment overall anatomic reattachment rate significant difference anterior chamber posterior chamber intraocular lens group visual result significantly bad lens group 0.05 negative prognostic indicator reattachment include age great year poor preoperative vision large extent retinal detachment inability identify retinal break long duration symptom presentation grade proliferative vitreoretinopathy 0.05 addition factor eye reaction lense macular detachment poor visual prognosis', 'microvitreous surgery combine scleral encircle treatment complex retinal detachment case eye complex retinal detachment treat combination vitrectomy membrane peeling intraocular air tamponade scleral encircle opaque medium proliferative vitroretinopathy traction trauma factor posterior break giant tear include follow period month case obtain anatomic reattachment fail successful case eye achieve improvement eye remain unchanged eye bad vision surgery complication retinal haemorrhage choroidal haemorrhage iatrogenic tear development cataract', 'cataract surgery fuch heterochromic iridocyclitis eighteen eye patient fuch heterochromic iridocyclitis undergo cataract extraction intraocular lens implantation extracapsular intracapsular intraoperative complication include hyphaema poor pupillary dilatation localise zonule dehiscence vitreous loss eye develop marked anterior uveitus pseudophakic aphakic resolve week topical steroid eye develop rise intraocular pressure iop postoperative day eye iop return normal therapy week eye preoperative glaucoma bad follow surgery visual acuity testing reveal eye 83.3 achieve 6/12 vision lamellar macular hole pre existing macular scar pre existing retinal detachment account poor visual result']"
15,151,15_ca2_current_channel_voltage,"['ca2', 'current', 'channel', 'voltage', 'potential', 'conductance', 'calcium', 'na', 'cell', 'increase']","[""extracellular atp induce acidification lead cytosolic calcium transient rise single rat cardiac myocyte origin increase cytosolic free ca2 concentration ca2+]i induce extracellular atp investigate single isolate cardiac myocyte load indo-1 nucleotide add concentration microm trigger ca2 spike follow cluster ca2 oscillation increase ca2+]i 200 basal value caffeine ryanodine affect magnitude ca2 transient shorten prevent ca2 oscillation indicate relate release ca2 sarcoplasmic reticulum atp induce cell depolarization experiment use potential sensitive dye bis oxonol initial ca2 spike attribute opening voltage dependent ca2 channel small ca2 transient remain experimental condition design prevent ca2 influx external medium low ca2 high mg2 medium contain la3 depletion sarcoplasmic reticulum ca2 load caffeine condition ca2 transient buffer 1,2 bis-(o aminophenoxy)ethane nnn'n'-tetra acetic acid atp unable trigger initial ca2 spike result indicate atp mobilize ca2 ion intracellular pool sarcoplasmic reticulum ca2 release responsible depolarization effect atp ca2+]i share characteristic acidification simultaneously induce nucleotide experiment use sensitive probe snarf-1 ionic variation highly specific atp hydrolysis resistant analogue require presence mg2 cl- ion extracellular medium prevent pretreatment cell 4,4'-di isothiocyanostilbene probenecid result suggest atp induce acidification lead displacement ca2 ion close internal face sarcolemma ca2 ion activate non specific membrane conductance responsible depolarization cell depolarization lead ca2 influx owe opening voltage dependent ca2 channel increase ca2 trigger release ca2 sarcoplasmic reticulum facilitate increase inositol trisphosphate follow purinergic stimulation"", 'ca2(+)-activate channel human lymphocyte rat thymocyte previous evidence existence ca2(+)-activate channel lymphocyte come measurement use voltage sensitive dye tracer flux study directly measure channel human tonsillar lymphocyte rat thymocyte single channel recording cell attach excise patch cell attach recording intracellular ca2 raise ionomycin replacement external ca2 follow incubation ca2(+)-free medium indo-1 measurement ca2(+)-replacement technique ca2+]i rise approximately 260 technique activate channel approximately slope conductance apply 140 pipette patch display activity indicate high density channel membrane channel reverse near equilibrium potential kcl potassium aspartate pipette cell bathe normal high saline channel selective large channel study detail display inward rectification symmetrical solution open channel probability weakly dependent membrane potential ca2(+)-dependent channel record excised inside membrane patch threshold activation 200 300 ca2+i patch excision alter characteristic ik(ca channel activate patch main conductance level approximately -80 duration single channel event short cell attach patch kinetic analysis suggest loss open state excise patch conclude lymphocyte k(+)-selective channel activate internal ca2 physiological range influence membrane potential cell activation', 'cytosolic calcium regulate potassium current corn zea protoplast voltage- time dependent current ik+ elicit depolarization corn protoplast inhibit addition calcium channel antagonist nitrendipine nifedipine verapamil methoxyverapamil bepridil la3 extracellular medium result suggest influx external ca2 necessary current activation ic50 concentration inhibitor cause reduction current nitrendipine microm test potential +60 follow min incubation period order test intracellular ca2 actuate current alter ca2 buffering capacity free ca2 concentration intracellular medium pipette filling solution mean ik+out varied fold range increase free ca2 concentration 400 shift activation current negative potential maintain cytoplasmic ca2 500 egta result rapid activation current normal rate activation current reflect change cytoplasmic ca2 depolarization increase intracellular ca2 500 microm lead inactivation current minute conclude ik+out regulate cytosolic ca2 turn control ca2 influx dihydropyridine- phenylalkylamine sensitive channel']"
